job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T929_5919261,NotChess,UCB1 GRAVE | MAST | MonteCarlo | MaxAvgScore,UCB1 GRAVE,MAST,MonteCarlo,MaxAvgScore,2,30,0.06666666666666667,420.0,0.5,30,1000,4,7G,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T92_5918424,Julbahar,UCB1 | NST | Implicit Minimax | Proportional Exp,UCB1,NST,Implicit Minimax,Proportional Exp,3,30,0.1,927.8,0.5,30,1000,4,7G,2,12,26,37,4,1,2,13,4,28,4.69,2.85,1.85,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T930_5919262,Oust,Progressive History | Random | MonteCarlo | Proportional Exp,Progressive History,Random,MonteCarlo,Proportional Exp,5,30,0.16666666666666666,107.1,0.5,30,1000,4,7G,2,127,294,420,2,1,13,13,6,127,10.2,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T931_5919263,Quad Wrangle,Progressive History | MAST | Score Bounded | Robust,Progressive History,MAST,Score Bounded,Robust,18,30,0.6,129.3,0.5,30,1000,4,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T932_5919264,Skirmish (GDL),Progressive History | NST | Implicit Minimax | MaxAvgScore,Progressive History,NST,Implicit Minimax,MaxAvgScore,1,30,0.03333333333333333,93.9,0.5,30,1000,4,7G,2,64,81,144,12,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T933_5919265,Surakarta,McBRAVE | Random | Score Bounded | MaxAvgScore,McBRAVE,Random,Score Bounded,MaxAvgScore,0,30,0.0,124.4,0.5,30,1000,4,7G,2,25,36,60,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T934_5919266,Sweep Burrow,McBRAVE | MAST | Implicit Minimax | Proportional Exp,McBRAVE,MAST,Implicit Minimax,Proportional Exp,2,30,0.06666666666666667,61.0,0.5,30,1000,4,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T935_5919267,Tank Tactics,McGRAVE | Random | Implicit Minimax | Robust,McGRAVE,Random,Implicit Minimax,Robust,0,30,0.0,13.3,0.5,30,1000,4,7G,2,50,66,115,2,2,5,10,4,52,6.28,3.4,2.88,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T936_5919268,Tibetan Jiuqi,McGRAVE | NST | Score Bounded | Proportional Exp,McGRAVE,NST,Score Bounded,Proportional Exp,7,30,0.23333333333333334,687.8,0.5,30,1000,4,7G,2,49,64,112,2,5,8,8,4,115,6.56,3.5,3.06,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T937_5919269,Toono,McBRAVE | NST | MonteCarlo | Robust,McBRAVE,NST,MonteCarlo,Robust,0,30,0.0,12.2,0.5,30,1000,4,7G,2,0,17,28,2,1,9,9,8,17,3.29,3.29,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T938_5919270,Triple Tangle,McGRAVE | MAST | MonteCarlo | MaxAvgScore,McGRAVE,MAST,MonteCarlo,MaxAvgScore,0,30,0.0,212.5,0.5,30,1000,4,7G,2,13,18,30,2,1,5,5,12,61,5.0,3.33,1.67,0,0,0,0,0,0,0,1,1,1,0,,,,,
planned_T939_5919271,Zola,Progressive Widening | Random | MonteCarlo | Proportional Exp,Progressive Widening,Random,MonteCarlo,Proportional Exp,4,30,0.13333333333333333,46.9,0.5,30,1000,4,7G,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T93_5918425,Mahbouseh,UCB1 GRAVE | MAST | Score Bounded | Robust,UCB1 GRAVE,MAST,Score Bounded,Robust,0,30,0.0,1000.0,0.5,30,1000,4,7G,2,12,26,37,4,1,2,13,4,28,4.69,2.85,1.85,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T940_5919272,Cannon,Progressive Widening | MAST | Score Bounded | Robust,Progressive Widening,MAST,Score Bounded,Robust,30,30,1.0,68.0,0.5,30,1000,4,7G,2,81,100,180,4,2,10,10,4,102,6.84,3.6,3.24,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T941_5919273,Capture the Queen,Progressive Widening | NST | Implicit Minimax | MaxAvgScore,Progressive Widening,NST,Implicit Minimax,MaxAvgScore,15,30,0.5,6.7,0.5,30,1000,4,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T942_5919274,King And Courtesan,Implicit Minimax | Random | Score Bounded | MaxAvgScore,Implicit Minimax,Random,Score Bounded,MaxAvgScore,13,30,0.43333333333333335,59.3,0.5,30,1000,5,7G,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T943_5919275,L'attaque,Alpha-Beta | Random | Implicit Minimax | Robust,Alpha-Beta,Random,Implicit Minimax,Robust,4,30,0.13333333333333333,456.0,0.5,30,1000,4,8G,2,84,110,196,24,2,10,9,4,108,6.19,3.33,2.86,0,0,1,0,0,0,0,0,0,1,0,,,,,
