job,out_file,err_file,out_exists,err_exists,out_size_bytes,err_size_bytes,parse_ok,has_game,has_variant,has_wins,has_total,diagnostic_reason,n_timeouts,game,variant,wins,completed,total_expected,losses,draws,failures,avgMoves,moveTime,maxMoves
planned_T1024_6071864,planned_T1024_6071864.out,planned_T1024_6071864.err,True,True,263,222,False,True,True,False,False,started_no_result_summary,0,Crossline,UCB1 | NST | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1025_6071865,planned_T1025_6071865.out,planned_T1025_6071865.err,True,True,294,222,False,True,True,False,False,started_no_result_summary,0,Bao Kiswahili (East Africa),UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,0.2,1000
planned_T1026_6071866,planned_T1026_6071866.out,planned_T1026_6071866.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Faraday,UCB1 | Random | Score Bounded | Robust,,,,,,,,0.5,1000
planned_T1027_6071867,planned_T1027_6071867.out,planned_T1027_6071867.err,True,True,269,222,False,True,True,False,False,started_no_result_summary,0,Gygoreg,Noisy AG0 | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1028_6071868,planned_T1028_6071868.out,planned_T1028_6071868.err,True,True,273,222,False,True,True,False,False,started_no_result_summary,0,Gobblet Gobblers,ExIt | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1029_6071869,planned_T1029_6071869.out,planned_T1029_6071869.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Hexshogi,ExIt | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T102_6070942,planned_T102_6070942.out,planned_T102_6070942.err,True,True,393,0,True,True,True,True,True,complete,0,Rimau-Rimau (One Tiger),UCB1 GRAVE | Random | MonteCarlo | Robust,0.0,30.0,30.0,0.0,30.0,0.0,1000.0,0.5,1000
planned_T1030_6071870,planned_T1030_6071870.out,planned_T1030_6071870.err,True,True,266,222,False,True,True,False,False,started_no_result_summary,0,Half Chess,AG0 | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1031_6071871,planned_T1031_6071871.out,planned_T1031_6071871.err,True,True,293,222,False,True,True,False,False,started_no_result_summary,0,Mbenga Alignment Game,Progressive History | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1032_6071872,planned_T1032_6071872.out,planned_T1032_6071872.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,00'Y',McGRAVE | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1033_6071873,planned_T1033_6071873.out,planned_T1033_6071873.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Agilidade,AG0 | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1034_6071874,planned_T1034_6071874.out,planned_T1034_6071874.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Quoridor,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1035_6071875,planned_T1035_6071875.out,planned_T1035_6071875.err,True,True,280,222,False,True,True,False,False,started_no_result_summary,0,Scaffold,Progressive History | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1036_6071876,planned_T1036_6071876.out,planned_T1036_6071876.err,True,True,271,222,False,True,True,False,False,started_no_result_summary,0,Line and Cross,UCB1 | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1037_6071877,planned_T1037_6071877.out,planned_T1037_6071877.err,True,True,290,222,False,True,True,False,False,started_no_result_summary,0,Ikibuguzo (Opening 1),Progressive Bias | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1038_6071878,planned_T1038_6071878.out,planned_T1038_6071878.err,True,True,268,222,False,True,True,False,False,started_no_result_summary,0,Dongjintian,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1039_6071879,planned_T1039_6071879.out,planned_T1039_6071879.err,True,True,276,222,False,True,True,False,False,started_no_result_summary,0,Mini Hexchess,UCB1 | Random | Implicit Minimax | Robust,,,,,,,,1.0,1000
planned_T103_6070943,planned_T103_6070943.out,planned_T103_6070943.err,True,True,364,0,True,True,True,True,True,complete,0,Mig Mang,ExIt | Random | MonteCarlo | Robust,6.0,30.0,30.0,13.0,11.0,0.0,109.2,1.0,1000
planned_T1040_6071880,planned_T1040_6071880.out,planned_T1040_6071880.err,True,True,282,222,False,True,True,False,False,started_no_result_summary,0,Gol Ekuish,Progressive History | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1041_6071881,planned_T1041_6071881.out,planned_T1041_6071881.err,True,True,271,222,False,True,True,False,False,started_no_result_summary,0,Mangala (Bedouin),UCB1 | NST | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1042_6071882,planned_T1042_6071882.out,planned_T1042_6071882.err,True,True,260,222,False,True,True,False,False,started_no_result_summary,0,Azteka,UCB1 | NST | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1043_6071883,planned_T1043_6071883.out,planned_T1043_6071883.err,True,True,278,222,False,True,True,False,False,started_no_result_summary,0,L Game,Progressive History | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1044_6071884,planned_T1044_6071884.out,planned_T1044_6071884.err,True,True,264,222,False,True,True,False,False,started_no_result_summary,0,Splastwo,AG0 | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1045_6071885,planned_T1045_6071885.out,planned_T1045_6071885.err,True,True,268,222,False,True,True,False,False,started_no_result_summary,0,Madrod,UCB1 | Random | MonteCarlo | MaxAvgScore,,,,,,,,0.2,1000
planned_T1046_6071886,planned_T1046_6071886.out,planned_T1046_6071886.err,True,True,290,222,False,True,True,False,False,started_no_result_summary,0,Mysore Tiger Game (Two Tigers),McBRAVE | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1047_6071887,planned_T1047_6071887.out,planned_T1047_6071887.err,True,True,263,222,False,True,True,False,False,started_no_result_summary,0,Makonn,UCB1 | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1048_6071888,planned_T1048_6071888.out,planned_T1048_6071888.err,True,True,263,222,False,True,True,False,False,started_no_result_summary,0,Bao,McBRAVE | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1049_6071889,planned_T1049_6071889.out,planned_T1049_6071889.err,True,True,270,222,False,True,True,False,False,started_no_result_summary,0,Katra Boaoaka,ExIt | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T104_6070944,planned_T104_6070944.out,planned_T104_6070944.err,True,True,368,0,True,True,True,True,True,complete,0,Yi,UCB1 | Random | MonteCarlo | MaxAvgScore,23.0,30.0,30.0,2.0,5.0,0.0,787.5,2.0,1000
planned_T1050_6071890,planned_T1050_6071890.out,planned_T1050_6071890.err,True,True,262,222,False,True,True,False,False,started_no_result_summary,0,Katra,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1051_6071891,planned_T1051_6071891.out,planned_T1051_6071891.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Spire,Noisy AG0 | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1052_6071892,planned_T1052_6071892.out,planned_T1052_6071892.err,True,True,281,222,False,True,True,False,False,started_no_result_summary,0,Dots and Boxes,UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,2.0,1000
planned_T1053_6071893,planned_T1053_6071893.out,planned_T1053_6071893.err,True,True,270,222,False,True,True,False,False,started_no_result_summary,0,Hackenbush,UCB1 | Heuristic | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1054_6071894,planned_T1054_6071894.out,planned_T1054_6071894.err,True,True,269,222,False,True,True,False,False,started_no_result_summary,0,Yi,UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,0.5,1000
planned_T1055_6071895,planned_T1055_6071895.out,planned_T1055_6071895.err,True,True,285,222,False,True,True,False,False,started_no_result_summary,0,Six-Penny Madell,Progressive Bias | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1056_6071896,planned_T1056_6071896.out,planned_T1056_6071896.err,True,True,283,222,False,True,True,False,False,started_no_result_summary,0,Celticator,Progressive Widening | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1057_6071897,planned_T1057_6071897.out,planned_T1057_6071897.err,True,True,263,222,False,True,True,False,False,started_no_result_summary,0,Netted,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1058_6071898,planned_T1058_6071898.out,planned_T1058_6071898.err,True,True,275,222,False,True,True,False,False,started_no_result_summary,0,Dama (Philippines),ExIt | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1059_6071899,planned_T1059_6071899.out,planned_T1059_6071899.err,True,True,273,222,False,True,True,False,False,started_no_result_summary,0,King And Courtesan,UCB1 | MAST | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T105_6070945,planned_T105_6070945.out,planned_T105_6070945.err,True,True,365,0,True,True,True,True,True,complete,0,Chopsticks,AG0 | Random | MonteCarlo | Robust,0.0,30.0,30.0,0.0,30.0,0.0,1000.0,0.2,1000
planned_T1060_6071900,planned_T1060_6071900.out,planned_T1060_6071900.err,True,True,277,222,False,True,True,False,False,started_no_result_summary,0,Mastermind,UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,2.0,1000
planned_T1061_6071901,planned_T1061_6071901.out,planned_T1061_6071901.err,True,True,263,222,False,True,True,False,False,started_no_result_summary,0,Hexade,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1062_6071902,planned_T1062_6071902.out,planned_T1062_6071902.err,True,True,283,222,False,True,True,False,False,started_no_result_summary,0,Talyn Buga,Progressive Widening | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1063_6071903,planned_T1063_6071903.out,planned_T1063_6071903.err,True,True,282,222,False,True,True,False,False,started_no_result_summary,0,Renard et les Poules,Noisy AG0 | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1064_6071904,planned_T1064_6071904.out,planned_T1064_6071904.err,True,True,277,222,False,True,True,False,False,started_no_result_summary,0,Cylinder Chess,Alpha-Beta | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1065_6071905,planned_T1065_6071905.out,planned_T1065_6071905.err,True,True,260,222,False,True,True,False,False,started_no_result_summary,0,Fang,AG0 | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1066_6071906,planned_T1066_6071906.out,planned_T1066_6071906.err,True,True,279,222,False,True,True,False,False,started_no_result_summary,0,Mraha wa Bwe,UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,0.5,1000
planned_T1067_6071907,planned_T1067_6071907.out,planned_T1067_6071907.err,True,True,270,222,False,True,True,False,False,started_no_result_summary,0,Rumi Shatranj,UCB1 | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1068_6071908,planned_T1068_6071908.out,planned_T1068_6071908.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,El Zorro,UCB1 | Random | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1069_6071909,planned_T1069_6071909.out,planned_T1069_6071909.err,True,True,271,222,False,True,True,False,False,started_no_result_summary,0,Fortresse,Noisy AG0 | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T106_6070946,planned_T106_6070946.out,planned_T106_6070946.err,True,True,384,0,True,True,True,True,True,complete,0,Crossway,Progressive Widening | Random | MonteCarlo | Robust,3.0,30.0,30.0,2.0,25.0,0.0,925.2,0.5,1000
planned_T1070_6071910,planned_T1070_6071910.out,planned_T1070_6071910.err,True,True,282,222,False,True,True,False,False,started_no_result_summary,0,Nedilmarth,Progressive History | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1071_6071911,planned_T1071_6071911.out,planned_T1071_6071911.err,True,True,275,222,False,True,True,False,False,started_no_result_summary,0,Neg Tugal Tuux,UCB1 | HS Playout | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1072_6071912,planned_T1072_6071912.out,planned_T1072_6071912.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Shobu,UCB1 | Random | MonteCarlo | MaxAvgScore,,,,,,,,2.0,1000
planned_T1073_6071913,planned_T1073_6071913.out,planned_T1073_6071913.err,True,True,259,222,False,True,True,False,False,started_no_result_summary,0,T'mbl,UCB1 | NST | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1074_6071914,planned_T1074_6071914.out,planned_T1074_6071914.err,True,True,261,222,False,True,True,False,False,started_no_result_summary,0,Ringo,UCB1 | MAST | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1075_6071915,planned_T1075_6071915.out,planned_T1075_6071915.err,True,True,264,222,False,True,True,False,False,started_no_result_summary,0,Pula,McBRAVE | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1076_6071916,planned_T1076_6071916.out,planned_T1076_6071916.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Lasca,UCB1 | PlayoutHS | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1077_6071917,planned_T1077_6071917.out,planned_T1077_6071917.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Ikh Buga,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1078_6071918,planned_T1078_6071918.out,planned_T1078_6071918.err,True,True,262,222,False,True,True,False,False,started_no_result_summary,0,Trax,UCB1 | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1079_6071919,planned_T1079_6071919.out,planned_T1079_6071919.err,True,True,274,222,False,True,True,False,False,started_no_result_summary,0,Zurgaan Tal,UCB1 tuned | Random | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T107_6070947,planned_T107_6070947.out,planned_T107_6070947.err,True,True,377,0,True,True,True,True,True,complete,0,Epelle,Progressive History | Random | MonteCarlo | Robust,0.0,30.0,30.0,0.0,30.0,0.0,1000.0,1.0,1000
