job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T1257_5801066,Halma,McBRAVE | NST | AlphaGo | Proportional Exp,McBRAVE,NST,AlphaGo,Proportional Exp,0,10,0.0,1000.0,0.2,10,1000,5,7G,2,256,289,544,2,2,16,16,4,256,7.27,3.75,3.52,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1258_5801067,Conspirateurs,Progressive Widening | Random | Implicit Minimax | Robust,Progressive Widening,Random,Implicit Minimax,Robust,1,10,0.1,994.3,0.2,10,1000,5,7G,2,289,324,612,2,2,17,17,4,291,7.31,3.76,3.54,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1259_5801068,Achi,Alpha-Beta | MAST | Implicit Minimax | MaxAvgScore,Alpha-Beta,MAST,Implicit Minimax,MaxAvgScore,0,10,0.0,49.0,0.2,10,1000,4,7G,2,0,16,20,2,2,5,5,4,18,2.5,2.5,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T125_5799934,Msuwa wa Kunja,UCB1 | MAST | AlphaGo | MaxAvgScore,UCB1,MAST,AlphaGo,MaxAvgScore,6,10,0.6,91.5,0.2,10,1000,4,7G,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T1260_5801069,Rab'e,McGRAVE | Random | Heuristic | Robust,McGRAVE,Random,Heuristic,Robust,0,10,0.0,1000.0,0.2,10,1000,4,7G,2,10,18,27,1,2,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
planned_T1261_5801070,Kara,UCB1 tuned | NST | Heuristic | Proportional Exp,UCB1 tuned,NST,Heuristic,Proportional Exp,1,10,0.1,67.4,0.2,10,1000,4,7G,2,4,8,11,1,1,3,5,2,8,3.75,2.75,1.0,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T1262_5801071,Andot,Alpha-Beta | Random | Score Bounded | Robust,Alpha-Beta,Random,Score Bounded,Robust,0,10,0.0,54.0,0.2,10,1000,4,7G,2,5,12,16,1,1,2,6,4,12,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T1263_5801072,Katro,Progressive History | MAST | Heuristic | MaxAvgScore,Progressive History,MAST,Heuristic,MaxAvgScore,4,10,0.4,164.2,0.2,10,1000,4,7G,2,25,36,60,1,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T1268_5801077,Rumi Shatranj,Progressive History | Random | MonteCarlo | Robust,Progressive History,Random,MonteCarlo,Robust,1,10,0.1,846.7,0.2,10,1000,4,7G,2,64,81,144,12,3,8,8,4,74,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T126_5799935,Baqura,Progressive History | NST | Implicit Minimax | Proportional Exp,Progressive History,NST,Implicit Minimax,Proportional Exp,0,10,0.0,355.5,0.2,10,1000,4,7G,2,5,12,16,1,3,2,6,4,19,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,1,0,,,,,
