variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,drawrate,score,n_timeouts,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
Progressive Bias,MAST,Score Bounded,Proportional Exp,0.0,0.23,0.115,0,1.0,2000,2,8,9,16,2,1,3,3,4,11,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Noisy AG0,MAST,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,0,5,7,2,1,3,3,5,7,2.8,2.8,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
McGRAVE,Random,Score Bounded,Robust,0.0,0.24,0.12,0,2.0,2000,2,8,9,16,2,1,3,3,4,11,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
McBRAVE,MAST,Score Bounded,Robust,0.07,0.22,0.18,0,0.2,2000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
ExIt,MAST,MonteCarlo,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,6,12,17,2,2,2,7,2,22,4.17,2.83,1.33,1,0,0,0,1,0,0,1,0,1,0,,,,,
ExIt,NST,Score Bounded,Proportional Exp,0.02,0.0,0.02,0,1.0,2000,2,100,121,220,2,1,11,11,4,121,6.94,3.64,3.31,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Bias,NST,MonteCarlo,Robust,0.01,0.0,0.01,0,2.0,2000,2,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,MAST,Heuristic,MaxAvgScore,0.69,0.0,0.69,0,0.2,2000,2,61,150,210,2,1,9,9,6,63,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,Heuristic,Score Bounded,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,61,150,210,2,1,9,9,6,63,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,Random,Heuristic,MaxAvgScore,0.05,0.0,0.05,0,1.0,2000,2,61,150,210,3,1,9,9,6,62,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,Heuristic Sampling,MonteCarlo,Proportional Exp,0.01,0.0,0.01,0,2.0,2000,2,61,150,210,2,1,9,9,6,63,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,LGR,Implicit Minimax,Robust,0.48,0.0,0.48,0,0.2,2000,2,61,150,210,2,1,9,9,6,63,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,MAST,Score Bounded,MaxAvgScore,0.46,0.01,0.465,0,0.2,2000,2,9,16,24,1,1,4,4,4,18,5.25,3.0,2.25,0,0,0,0,1,0,0,1,0,1,0,,,,,
ExIt,Heuristic,Score Bounded,Robust,0.15,0.0,0.15,0,0.5,2000,2,61,150,210,3,1,9,9,6,62,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,LGR,AlphaGo,MaxAvgScore,0.02,0.0,0.02,0,1.0,2000,2,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,MAST,Qualitative,Robust,0.0,0.0,0.0,0,2.0,2000,2,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,Heuristic Sampling,Heuristic,MaxAvgScore,0.28,0.0,0.28,0,0.2,2000,2,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,PlayoutHS,Score Bounded,Proportional Exp,0.12,0.0,0.12,0,0.5,2000,2,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,MAST,MonteCarlo,Proportional Exp,0.33,0.0,0.33,0,1.0,2000,2,61,150,210,3,1,9,9,6,62,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,NST,AlphaGo,Robust,0.22,0.0,0.22,0,2.0,2000,2,61,150,210,3,1,9,9,6,62,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,Heuristic Sampling,Qualitative,MaxAvgScore,0.13,0.0,0.13,0,0.2,2000,2,61,150,210,3,1,9,9,6,62,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,HS Playout,Implicit Minimax,Proportional Exp,0.18,0.0,0.18,0,0.5,2000,2,61,150,210,3,1,9,9,6,62,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,Heuristic Sampling,MonteCarlo,Robust,0.5,0.0,0.5,0,0.5,2000,2,64,81,144,2,3,8,8,4,208,6.56,3.5,3.06,0,0,0,0,0,0,0,0,1,1,0,,,,,
Progressive Widening,NST,MonteCarlo,MaxAvgScore,0.09,0.0,0.09,0,0.2,2000,2,256,289,544,88,1,16,16,4,256,7.27,3.75,3.52,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,MAST,Score Bounded,Proportional Exp,0.5,0.0,0.5,0,0.5,2000,2,40,33,72,2,1,7,7,16,33,4.36,4.36,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1,NST,Score Bounded,MaxAvgScore,0.11,0.01,0.115,0,1.0,2000,2,3,30,50,2,2,15,24,5,35,4.33,3.33,1.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
McBRAVE,Random,MonteCarlo,Robust,0.15,0.0,0.15,0,2.0,2000,2,81,100,180,4,2,10,10,4,102,6.84,3.6,3.24,0,0,0,0,0,0,0,1,0,1,0,,,,,
Noisy AG0,MAST,Score Bounded,Robust,0.0,0.0,0.0,0,0.2,2000,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,1,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,NST,MonteCarlo,MaxAvgScore,0.01,0.01,0.015,0,0.5,2000,2,72,62,133,3,2,8,8,6,136,5.84,4.29,1.55,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1 GRAVE,MAST,MonteCarlo,Proportional Exp,0.0,0.05,0.025,0,1.0,2000,2,16,25,48,2,1,5,5,4,27,5.76,3.84,1.92,0,0,0,0,0,0,0,1,0,1,0,,,,,
McGRAVE,Random,MonteCarlo,Robust,0.0,0.0,0.0,0,2.0,2000,2,8,18,25,1,1,2,9,4,20,4.56,2.78,1.78,0,0,0,0,1,0,0,1,0,1,0,,,,,
AG0,NST,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,0.2,2000,2,7,16,22,1,1,2,8,4,25,4.5,2.75,1.75,0,0,0,0,1,0,0,1,0,1,0,,,,,
ExIt,NST,Score Bounded,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,21,32,52,1,3,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,NST,Score Bounded,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,21,32,52,1,4,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1 GRAVE,MAST,Score Bounded,MaxAvgScore,0.59,0.02,0.6,0,0.2,2000,2,7,14,20,1,1,2,8,2,16,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,1,0,,,,,
UCB1,Random,MonteCarlo,MaxAvgScore,0.61,0.0,0.61,0,1.0,2000,2,91,222,312,2,2,13,13,3,91,9.49,5.14,4.35,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,MAST,AlphaGo,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,91,222,312,2,2,13,13,3,91,9.49,5.14,4.35,0,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,NST,Heuristic,Robust,0.04,0.0,0.04,0,0.2,2000,2,91,222,312,2,2,13,13,3,91,9.49,5.14,4.35,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,Heuristic,Qualitative,Proportional Exp,0.12,0.0,0.12,0,0.5,2000,2,91,222,312,2,2,13,13,3,91,9.49,5.14,4.35,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,Heuristic Sampling,Implicit Minimax,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,91,222,312,2,2,13,13,3,91,9.49,5.14,4.35,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,NST,Heuristic,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,10,18,27,1,1,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Widening,NST,Score Bounded,Proportional Exp,0.45,0.0,0.45,0,2.0,2000,2,61,150,210,1,2,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,Random,Score Bounded,Robust,0.02,0.0,0.02,0,0.2,2000,2,92,223,314,2,2,8,15,4,94,9.59,5.17,4.41,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,MAST,MonteCarlo,Robust,0.0,0.0,0.0,0,0.5,2000,2,0,10,15,2,2,4,7,3,11,3.0,3.0,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1,NST,Qualitative,MaxAvgScore,0.01,0.0,0.01,0,1.0,2000,2,0,10,15,2,2,4,7,3,12,3.0,3.0,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1 tuned,Heuristic,Score Bounded,Proportional Exp,0.5,0.0,0.5,0,2.0,2000,2,0,10,15,2,2,4,7,3,12,3.0,3.0,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive History,MAST,Score Bounded,MaxAvgScore,0.0,1.0,0.5,0,0.2,2000,2,10,18,27,1,2,3,6,4,30,5.22,3.0,2.22,0,0,0,0,1,0,0,1,0,1,0,,,,,
Noisy AG0,Random,MonteCarlo,MaxAvgScore,0.0,0.99,0.495,0,0.5,2000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
ExIt,NST,AlphaGo,Proportional Exp,0.0,0.99,0.495,0,1.0,2000,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,MAST,MonteCarlo,Proportional Exp,0.0,0.99,0.495,0,2.0,2000,2,42,38,79,2,1,8,9,7,38,4.79,4.16,0.63,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,NST,MonteCarlo,MaxAvgScore,0.25,0.0,0.25,0,0.2,2000,2,32,25,56,4,1,5,5,4,25,4.48,4.48,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Noisy AG0,Heuristic Sampling,Implicit Minimax,Robust,0.0,0.0,0.0,0,0.2,2000,2,21,32,52,1,1,4,8,4,55,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Bias,Random,Score Bounded,Robust,0.0,0.0,0.0,0,0.5,2000,2,14,30,96,3,2,4,4,4,35,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive History,Random,MonteCarlo,Robust,0.46,0.08,0.5,0,1.0,2000,2,14,30,96,3,1,7,7,4,33,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,1,0,,,,,
Noisy AG0,NST,Score Bounded,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,14,30,96,3,1,7,7,4,33,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,1,0,,,,,
McBRAVE,MAST,Score Bounded,Proportional Exp,0.0,0.0,0.0,0,0.2,2000,2,20,30,49,2,2,5,6,4,52,5.93,3.27,2.67,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive Bias,MAST,MonteCarlo,Robust,0.0,0.0,0.0,0,0.5,2000,2,128,81,208,2,1,9,9,4,81,5.14,5.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,Heuristic Sampling,AlphaGo,Proportional Exp,0.11,0.0,0.11,0,1.0,2000,2,128,81,208,4,1,9,9,4,81,5.14,5.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
McGRAVE,PlayoutHS,Score Bounded,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,216,127,342,2,1,13,13,6,127,5.39,5.39,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
AG0,Random,Qualitative,MaxAvgScore,0.01,0.0,0.01,0,0.2,2000,2,128,81,208,2,1,9,9,4,81,5.14,5.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
ExIt,Heuristic,Heuristic,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,128,81,208,2,1,9,9,4,81,5.14,5.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
AG0,LGR,Heuristic,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,15,24,38,1,6,4,6,4,24,5.67,3.17,2.5,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 tuned,NST,Qualitative,Robust,0.01,0.0,0.01,0,0.5,2000,2,0,35,30,1,1,9,17,21,30,2.0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,,,,,
McBRAVE,PlayoutHS,MonteCarlo,Robust,0.05,0.0,0.05,0,0.2,2000,2,128,81,208,2,1,9,9,4,81,5.14,5.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 GRAVE,LGR,Heuristic,Proportional Exp,0.1,0.01,0.105,0,0.5,2000,2,128,81,208,2,1,9,9,4,81,5.14,5.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 tuned,NST,MonteCarlo,MaxAvgScore,0.48,0.01,0.485,0,1.0,2000,2,41,85,124,4,1,9,9,4,126,7.41,5.07,2.34,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive Widening,Random,Score Bounded,Robust,0.45,0.0,0.45,0,2.0,2000,2,37,96,132,4,1,7,7,6,133,8.76,4.86,3.89,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive History,Random,Score Bounded,Robust,0.15,0.68,0.49,0,0.2,2000,2,100,121,220,2,1,11,11,4,223,6.94,3.64,3.31,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive Bias,NST,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,48,49,96,2,1,9,9,16,49,4.57,3.92,0.65,0,0,0,0,0,0,0,1,0,0,0,,,,,
McGRAVE,Random,Implicit Minimax,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,32,49,88,2,1,9,9,16,49,4.24,3.59,0.65,0,0,0,0,0,0,0,1,0,0,0,,,,,
Noisy AG0,Heuristic,AlphaGo,Robust,0.0,0.0,0.0,0,2.0,2000,2,48,49,96,2,1,9,9,16,49,4.57,3.92,0.65,0,0,0,0,0,0,0,1,0,0,0,,,,,
ExIt,LGR,Qualitative,MaxAvgScore,0.0,0.0,0.0,0,0.2,2000,2,48,49,96,2,1,9,9,16,49,4.57,3.92,0.65,0,0,0,0,0,0,0,1,0,0,0,,,,,
AG0,Random,Implicit Minimax,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,3,30,50,2,2,15,24,5,35,4.33,3.33,1.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
AG0,Random,Implicit Minimax,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,48,49,96,2,1,9,9,16,49,4.57,3.92,0.65,0,0,0,0,0,0,0,1,0,0,0,,,,,
Noisy AG0,NST,Score Bounded,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,32,29,68,3,1,9,9,8,29,4.69,4.69,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
AG0,MAST,MonteCarlo,Robust,0.0,0.0,0.0,0,2.0,2000,2,4,7,11,2,1,3,3,4,7,3.14,3.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Bias,Heuristic,Score Bounded,Proportional Exp,0.0,0.0,0.0,0,0.2,2000,2,8,9,16,2,1,3,3,4,9,3.56,3.56,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 tuned,Heuristic Sampling,Implicit Minimax,MaxAvgScore,0.0,1.0,0.5,0,0.5,2000,2,4,7,11,2,1,3,3,4,7,3.14,3.14,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Widening,MAST,MonteCarlo,Proportional Exp,0.0,0.02,0.01,0,1.0,2000,2,44,61,128,2,1,11,7,10,61,6.03,4.2,1.84,0,0,0,0,0,0,0,1,0,0,0,,,,,
ExIt,NST,MonteCarlo,Robust,0.0,0.0,0.0,0,2.0,2000,2,40,37,76,2,1,9,5,10,37,4.54,4.11,0.43,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Bias,Heuristic Sampling,Qualitative,Robust,0.0,0.0,0.0,0,0.2,2000,2,40,37,76,2,1,9,5,10,37,4.54,4.11,0.43,0,0,0,0,0,0,0,1,0,0,0,,,,,
AG0,Random,Implicit Minimax,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,40,37,76,2,1,9,5,10,37,4.54,4.11,0.43,0,0,0,0,0,0,0,1,0,0,0,,,,,
Implicit Minimax,LGR,Qualitative,MaxAvgScore,0.08,0.0,0.08,0,2.0,2000,2,9,16,24,2,1,4,4,4,16,5.25,3.0,2.25,0,0,0,0,1,0,0,1,0,0,0,,,,,
McGRAVE,MAST,Score Bounded,MaxAvgScore,0.0,0.0,0.0,0,0.2,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,NST,Implicit Minimax,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,Heuristic Sampling,Heuristic,Robust,0.56,0.13,0.625,0,1.0,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,HS Playout,AlphaGo,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,Random,Qualitative,Proportional Exp,0.0,0.0,0.0,0,0.2,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,Heuristic,MonteCarlo,Robust,0.09,0.04,0.11,0,0.5,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,PlayoutHS,Heuristic,MaxAvgScore,0.03,0.02,0.04,0,1.0,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,Random,AlphaGo,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,MAST,MonteCarlo,MaxAvgScore,0.0,1.0,0.5,0,0.2,2000,2,256,289,544,2,2,16,16,4,256,7.27,3.75,3.52,0,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,Random,AlphaGo,MaxAvgScore,0.01,0.0,0.01,0,0.2,2000,2,16,25,40,3,1,5,5,4,65,5.76,3.2,2.56,0,0,0,0,0,0,0,1,1,0,0,,,,,
AG0,MAST,Score Bounded,Robust,0.01,0.03,0.025,0,0.5,2000,2,7,14,20,1,1,2,8,2,14,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,0,0,,,,,
Noisy AG0,Heuristic,Score Bounded,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,8,16,23,1,1,2,9,2,16,4.38,2.88,1.5,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive History,HS Playout,Implicit Minimax,Robust,0.01,0.0,0.01,0,2.0,2000,2,8,16,23,1,1,2,9,2,16,4.38,2.88,1.5,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 tuned,Random,MonteCarlo,MaxAvgScore,0.5,0.0,0.5,0,0.2,2000,2,40,37,76,2,2,9,5,10,78,4.54,4.11,0.43,1,0,0,0,0,0,0,1,0,1,0,,,,,
McGRAVE,MAST,Score Bounded,Proportional Exp,0.03,0.0,0.03,0,0.2,2000,2,64,81,144,4,1,9,9,4,83,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive Widening,Random,MonteCarlo,MaxAvgScore,0.34,0.28,0.48,0,0.5,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,MAST,AlphaGo,Proportional Exp,0.65,0.04,0.67,0,1.0,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,Heuristic,Implicit Minimax,Proportional Exp,0.0,0.01,0.005,0,0.5,2000,2,16,25,40,2,1,5,5,4,65,5.76,3.2,2.56,0,0,0,0,0,0,0,1,1,0,0,,,,,
UCB1,NST,MonteCarlo,Robust,0.56,0.0,0.56,0,2.0,2000,2,25,36,60,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,Heuristic,Heuristic,Robust,0.84,0.16,0.92,0,0.2,2000,2,25,36,60,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,Heuristic Sampling,Heuristic,MaxAvgScore,0.74,0.0,0.74,0,0.5,2000,2,25,36,60,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,LGR,AlphaGo,Proportional Exp,0.01,0.0,0.01,0,1.0,2000,2,25,36,60,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,Random,MonteCarlo,Proportional Exp,0.05,0.0,0.05,0,2.0,2000,2,25,36,60,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,MAST,MonteCarlo,Robust,0.68,0.0,0.68,0,0.2,2000,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Bias,NST,Implicit Minimax,Robust,0.0,0.0,0.0,0,0.5,2000,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1,Heuristic Sampling,Heuristic,MaxAvgScore,0.67,0.0,0.67,0,1.0,2000,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Widening,HS Playout,AlphaGo,Proportional Exp,0.43,0.0,0.43,0,2.0,2000,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
Alpha-Beta,Random,MonteCarlo,Proportional Exp,0.05,0.0,0.05,0,0.2,2000,2,64,81,144,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,0,0,,,,,
ExIt,PlayoutHS,Heuristic,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,0,43,84,2,1,23,15,6,43,3.91,3.91,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Noisy AG0,Random,Score Bounded,Robust,0.05,0.04,0.07,0,0.5,2000,2,72,62,133,3,2,8,8,6,136,5.84,4.29,1.55,0,0,0,0,0,0,0,1,0,1,0,,,,,
McBRAVE,NST,Score Bounded,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,121,144,264,2,1,11,11,4,121,6.94,3.64,3.31,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,MAST,MonteCarlo,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,4,8,16,2,3,4,4,2,9,4.0,4.0,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1,MAST,Score Bounded,Proportional Exp,0.4,0.0,0.4,0,0.2,2000,2,79,294,276,3,1,13,13,12,79,9.42,5.01,4.41,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,Random,MonteCarlo,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,40,37,76,2,1,9,5,10,37,4.54,4.11,0.43,0,0,0,0,0,0,0,1,0,0,0,,,,,
Noisy AG0,MAST,Heuristic,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,40,37,76,2,1,9,5,10,37,4.54,4.11,0.43,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 tuned,Random,Score Bounded,Robust,0.45,0.0,0.45,0,2.0,2000,2,14,30,96,2,1,4,4,4,30,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1,MAST,MonteCarlo,Proportional Exp,0.58,0.0,0.58,0,0.2,2000,2,14,30,96,2,1,4,4,4,30,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Bias,NST,Score Bounded,MaxAvgScore,0.03,0.0,0.03,0,0.5,2000,2,14,30,96,2,1,4,4,4,30,8.27,6.4,1.87,0,0,0,0,0,0,0,1,0,0,0,,,,,
ExIt,NST,MonteCarlo,Robust,0.0,0.0,0.0,0,1.0,2000,2,100,121,220,3,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,Random,Heuristic,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,100,121,220,3,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,Heuristic Sampling,Score Bounded,MaxAvgScore,0.25,0.06,0.28,0,0.2,2000,2,100,121,220,4,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,HS Playout,MonteCarlo,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,100,121,220,4,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,LGR,Heuristic,Proportional Exp,0.45,0.0,0.45,0,1.0,2000,2,100,121,220,4,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,Random,Qualitative,Robust,0.03,0.2,0.13,0,2.0,2000,2,100,121,220,4,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,MAST,Score Bounded,Robust,0.07,0.0,0.07,0,0.2,2000,2,37,27,63,2,1,6,6,6,27,4.67,4.67,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
