variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,drawrate,score,n_timeouts,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
UCB1 GRAVE,Random,MonteCarlo,Proportional Exp,0.04,0.0,0.04,0,1.0,2000,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
Noisy AG0,MAST,Heuristic,MaxAvgScore,0.0,0.01,0.005,0,0.2,2000,2,18,28,45,1,1,4,7,4,28,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,HS Playout,Heuristic,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,24,36,59,1,1,4,9,4,36,5.94,3.28,2.67,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive Widening,PlayoutHS,Heuristic,Robust,0.7,0.0,0.7,0,1.0,2000,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
Implicit Minimax,MAST,Implicit Minimax,MaxAvgScore,0.34,0.0,0.34,0,2.0,2000,2,27,40,66,1,1,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
Progressive Widening,Heuristic Sampling,MonteCarlo,Proportional Exp,0.5,0.0,0.5,0,0.2,2000,2,9,16,24,2,1,4,4,4,16,5.25,3.0,2.25,0,0,0,0,1,0,0,1,0,0,0,,,,,
McBRAVE,HS Playout,Score Bounded,Robust,0.18,0.0,0.18,0,0.5,2000,2,9,16,24,2,1,4,4,4,16,5.25,3.0,2.25,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 GRAVE,NST,Score Bounded,MaxAvgScore,0.14,0.0,0.14,0,1.0,2000,2,37,96,132,2,2,7,7,6,37,8.76,4.86,3.89,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,Heuristic Sampling,AlphaGo,Robust,0.01,0.0,0.01,0,0.5,2000,2,16,9,20,1,1,5,5,12,20,8.0,8.0,0.0,0,0,0,0,0,0,0,0,1,0,0,,,,,
McGRAVE,NST,MonteCarlo,MaxAvgScore,0.0,0.0,0.0,0,2.0,2000,2,12,20,31,3,1,3,4,4,12,4.83,2.83,2.0,0,0,0,0,0,0,0,0,0,1,0,,,,,
